sourceId,title,publisher,urlOrCitation,sourceType,registerConfidence,retrievalStatus,usedFor,upstreamTracks,upstreamArtifacts
S-011,"SENEA cover-page Class A and Class B share counts (FY2025 10-K, most recent 10-Q)","Seneca Foods Corporation / U.S. Securities and Exchange Commission","FY2025 10-K cover page and most recent 10-Q cover page",primary-filing,high,not-retrieved,"C-001;C-002;C-004;C-008;F-007;M-001;M-003",linear;master-new,"final-investment-report.json;master-diligence-report.json"
S-012,"USDA ERS + Census ASM canned-vegetable trend data","U.S. Department of Agriculture Economic Research Service / U.S. Census Bureau Annual Survey of Manufactures","USDA ERS canned-vegetable per-capita series; Census ASM industry-aggregate series",industry-data,high,not-retrieved,"B-001;B-009;IC-010",linear,"final-investment-report.json;final-investment-report.md"
S-013,"Trade press on smaller producers (Hanover, Faribault, Furmano's, Truitt, Allens / Sager Creek)","Various food-industry trade press","Trade press archive (to be cataloged)",trade-press,medium,not-retrieved,"IC-002;IC-004",linear,"final-investment-report.json"
S-014,"Del Monte trade-press wire copy on bankruptcy and restructuring","Various financial / industry trade press wires","Trade press archive (to be cataloged)",trade-press,medium,not-retrieved,"C-006;IC-006;IC-007;DMC-04;DMC-05;B-003;B-005;B-008;E-005",linear;parallel,"final-investment-report.json;final-investment-report.md;parallel-claim-synthesis.json"
S-015,"Retailer 10-K / 20-F private-label disclosures (Walmart, Kroger, Costco, Albertsons, Ahold Delhaize)","Various retailer issuers / U.S. and foreign securities regulators","Retailer SEC and equivalent filings",primary-filing,high,not-retrieved,"B-002;B-008;IC-005;IC-009",linear,"final-investment-report.json;final-investment-report.md"
S-016,"Circana / NielsenIQ syndicated panel aggregates","Circana (formerly IRI) / NielsenIQ","Subscription syndicated panel data",industry-data,high,not-retrieved,"C-005;IC-001;IC-005;IC-010;B-001;B-009",linear,"final-investment-report.json;final-investment-report.md"
S-017,"CRU Tinplate / S&P Platts / FRED canned-vegetable production index","CRU Group / S&P Global Platts / Federal Reserve Economic Data","Subscription tinplate price series + FRED canned-vegetable production index",industry-data,high,not-retrieved,"C-011;IC-008;B-005;E-006",linear,"final-investment-report.json;final-investment-report.md"
S-018,"SENEA Class A daily OHLCV from a consolidated tape vendor","Consolidated tape vendor (to be specified)","Subscription market-data vendor",market-data,high,not-retrieved,"C-007;C-009;E-001;E-002;E-003;E-004;E-005;E-006;E-007;E-008;E-009;E-010;E-011;R-009",linear,"final-investment-report.json;final-investment-report.md"
S-019,"Russell 2000 / Fama-French factor returns","Frank Russell Company / Kenneth French Data Library","Standard factor-return data files",market-data,high,not-retrieved,"E-007;E-010;R-010",linear,"final-investment-report.json;final-investment-report.md"
S-020,"IJR / SLY / VIOO and other S&P SmallCap 600 ETF rebalance disclosures","BlackRock (IJR) / SPDR (SLY) / Vanguard (VIOO) / others","ETF holdings vendor (to be specified) plus issuer rebalance announcements",etf-holdings,high,not-retrieved,"C-007;E-001;R-001;R-011",linear,"final-investment-report.json;final-investment-report.md"
S-021,"FRED rates / liquidity windows (Fed QT, SVB liquidity windows)","Federal Reserve Economic Data","Public FRED series",macro-data,high,not-retrieved,"E-007;R-010",linear,"final-investment-report.json;final-investment-report.md"
TR-StockTitan-SENEA,"StockTitan SENEA financials page (tertiary aggregator summary of FY2025 10-K balance sheet)",StockTitan,"https://www.stocktitan.net/financials/SENEA/",tertiary-aggregator,low,supporting-context-only,"FY2025 balance-sheet aggregate corroboration",parallel,"parallel-claim-synthesis.md"
TR-StockTitan-SENEB,"StockTitan SENEB overview (tertiary aggregator summary)",StockTitan,"https://www.stocktitan.net/overview/SENEB/",tertiary-aggregator,low,supporting-context-only,"SENEB market-cap context",parallel,"parallel-claim-synthesis.md"
TR-GuruFocus-BVPS,"GuruFocus Seneca Foods Book Value per Share page (tertiary aggregator)",GuruFocus,"https://www.gurufocus.com/term/Book+Value+Per+Share/SENEB/Book-Value-per-Share/Seneca-Foods",tertiary-aggregator,low,supporting-context-only,"BVPS history context (FY2022 BVPS ~$77.16; 10y avg 7.40%; 5y 10.90%)",parallel,"parallel-claim-synthesis.md;parallel-claim-scorecard.csv"
TR-Investing-SENEA,"Investing.com SENEA quote page (tertiary)",Investing.com,"https://www.investing.com/equities/seneca-foods-corp-(a)",tertiary-aggregator,low,supporting-context-only,"SENEA price context",parallel,"parallel-claim-synthesis.md"
TR-CompaniesMarketCap-SENEA,"CompaniesMarketCap Seneca Foods shares outstanding (tertiary)",CompaniesMarketCap,"https://companiesmarketcap.com/seneca-foods/shares-outstanding/",tertiary-aggregator,low,supporting-context-only,"Shares-outstanding context (aggregator share counts conflict; M-003)",parallel,"parallel-claim-synthesis.md"
TR-OverlookedAlpha-SENEA,"Overlooked Alpha Seneca Foods write-up (tertiary)",Overlooked Alpha,"https://www.overlookedalpha.com/p/seneca-foods-stock",tertiary-aggregator,low,supporting-context-only,"Historical thesis context for closing-discount-frame discussion",parallel,"parallel-claim-synthesis.md"
TR-Issuer-PressReleases,"Seneca Foods issuer press releases on March 2021 modified Dutch auction tender plus GlobeNewswire / MarketScreener mirrors","Seneca Foods Corporation Investor Relations","Issuer press releases and wire mirrors",issuer-press-release,medium,partially-retrieved,"C-008;E-003 (March 2021 Dutch tender corroboration: 1,449,339 Class A at $51.62, ~$74.81m, ~17.07% of float)",parallel,"parallel-claim-synthesis.md;parallel-claim-scorecard.csv"
ART-Latest-Financial-Rebuild,"Latest-financial rebuild artifacts (FY2025 numerical anchors via SEC company facts API)","Workflow wf-1777535082804-3","origin/plan/senea-latest-financial-rebuild:research/senea/latest-financial-rebuild.{md,json,csv}",upstream-artifact,high,retrieved-and-synthesized,"FY2025 reported balance sheet; LIFO reserve $359.3m; LIFO charge $34.474m; FIFO equity / NCAV computations","latest-financial","latest-financial-rebuild.md;latest-financial-rebuild.json;latest-financial-rebuild.csv"
ART-Final-Investment-Report,"Linear final investment report artifacts","Workflow wf-1777535774820-8","origin/plan/senea-diligence-step-5-analogs-final-report:research/senea/final-investment-report.{md,json};analog-screen.csv",upstream-artifact,high,retrieved-and-synthesized,"Claim scorecard, financial / industry / attribution summaries, mechanism-fit analog screen, final verdict, unresolved-diligence list",linear,"final-investment-report.md;final-investment-report.json;analog-screen.csv"
ART-Parallel-Claim-Synthesis,"Parallel claim-test fan-in synthesis artifacts","Workflow wf-1777536608713-14","origin/plan/senea-claim-test-final-synthesis:research/senea/parallel-claim-synthesis.{md,json};parallel-claim-scorecard.csv;parallel-analog-screen.csv",upstream-artifact,high,retrieved-and-synthesized,"Five claim families with explicit Decision Gate status; bear-case sharpenings; closing-discount risk finding; March 2021 Dutch tender corroboration",parallel,"parallel-claim-synthesis.md;parallel-claim-synthesis.json;parallel-claim-scorecard.csv;parallel-analog-screen.csv"
ART-Claims-Source-Pack,"SENEA claims source pack (foundation source register)","Workflow wf-1777535461894-4 (on master)","research/senea/claims-source-pack.{md,json};source-register.csv",upstream-artifact,high,retrieved-and-synthesized,"Foundation claim ledger C-001 through C-011 and source register S-001 through S-008",foundation,"claims-source-pack.md;claims-source-pack.json;source-register.csv"
