metric,label,period,units,reported,fifo_adjusted_pretax,fifo_adjusted_aftertax,status,source_ids,claim_ids,notes
reported_total_current_assets,"Total current assets",FY2025,USD millions,,,,pending,S-001,C-002,"From the consolidated balance sheet of the FY2025 10-K."
reported_total_liabilities,"Total liabilities",FY2025,USD millions,,,,pending,S-001,C-002,"Sum of current and long-term liabilities."
reported_stockholders_equity,"Total stockholders' equity",FY2025,USD millions,,,,pending,S-001,C-001,"From the consolidated balance sheet of the FY2025 10-K."
reported_goodwill,"Goodwill",FY2025,USD millions,,,,pending,S-001,C-001,"From the consolidated balance sheet of the FY2025 10-K."
reported_other_intangibles,"Other intangible assets, net",FY2025,USD millions,,,,pending,S-001,C-001,"From the consolidated balance sheet of the FY2025 10-K."
tangible_book_reported,"Tangible book value (reported, LIFO basis)",FY2025,USD millions,,,,pending,S-001,C-001,"reported_stockholders_equity - reported_goodwill - reported_other_intangibles."
tangible_book_fifo_pretax,"Tangible book value, FIFO-adjusted (pre-tax)",FY2025,USD millions,,,,pending,S-001,C-001,"tangible_book_reported + 359.3."
tangible_book_fifo_aftertax,"Tangible book value, FIFO-adjusted (after deferred tax)",FY2025,USD millions,,,,pending,"S-001;S-010",C-001,"tangible_book_reported + 359.3 * (1 - effective_tax_rate)."
tangible_book_per_share_fifo_aftertax,"FIFO-adjusted tangible book per share",FY2025,USD per share,,,,pending,"S-001;S-010;S-011",C-001,"tangible_book_fifo_aftertax / (Class A + Class B shares)."
ncav_reported,"NCAV (reported, LIFO basis)",FY2025,USD millions,,,,pending,S-001,C-002,"reported_total_current_assets - reported_total_liabilities."
ncav_fifo_pretax,"NCAV, FIFO-adjusted (pre-tax)",FY2025,USD millions,,,,pending,S-001,C-002,"ncav_reported + 359.3."
ncav_fifo_aftertax,"NCAV, FIFO-adjusted (after deferred tax)",FY2025,USD millions,,,,pending,"S-001;S-010",C-002,"ncav_reported + 359.3 * (1 - effective_tax_rate)."
ncav_per_share_fifo_aftertax,"FIFO-adjusted NCAV per share",FY2025,USD per share,,,,pending,"S-001;S-010;S-011",C-002,"ncav_fifo_aftertax / (Class A + Class B shares)."
reported_short_term_debt,"Short-term debt and current portion of long-term debt",FY2025,USD millions,,,,pending,S-001,C-001,"From the consolidated balance sheet of the FY2025 10-K."
reported_long_term_debt,"Long-term debt and finance leases",FY2025,USD millions,,,,pending,S-001,C-001,"From the balance sheet and long-term debt footnote."
reported_cash_and_securities,"Cash, cash equivalents, and marketable securities",FY2025,USD millions,,,,pending,S-001,C-001,"From the consolidated balance sheet of the FY2025 10-K."
net_debt,"Net debt",FY2025,USD millions,,,,pending,S-001,C-001,"(Short-term debt + Long-term debt) - (Cash + Marketable securities)."
shares_outstanding_class_a,"Class A common stock outstanding",FY2025,shares (millions),,,,pending,"S-001;S-011","C-001;C-002;C-003;C-004;C-008","From the FY2025 10-K cover page."
shares_outstanding_class_b,"Class B common stock outstanding",FY2025,shares (millions),,,,pending,"S-001;S-011","C-001;C-002;C-003;C-004;C-008","From the FY2025 10-K cover page."
buyback_authorization,"Cumulative buyback authorization (active program)",FY2025,USD millions,,,,pending,"S-001;S-005",C-008,"From 10-K Item 5 / Item 7 and FY2025 proxy."
buyback_executed_fy2025,"Shares repurchased in FY2025",FY2025,shares,,,,pending,S-001,C-008,"From 10-K Item 5 monthly repurchase table."
buyback_avg_price_fy2025,"Average price paid per share repurchased",FY2025,USD per share,,,,pending,S-001,C-008,"From 10-K Item 5 monthly repurchase table."
net_buyback_pct_beginning_shares,"Net buyback as percent of beginning shares outstanding",FY2025,percent,,,,pending,"S-001;S-005",C-008,"(Shares repurchased - Shares issued for compensation) / Beginning shares outstanding."
book_value_per_share_cagr_20yr,"Book value per share CAGR, FY2005-FY2025",FY2005-FY2025,percent per annum,,,,pending,"S-001;S-007;S-010;S-011",C-004,"Both reported (LIFO) and FIFO-adjusted CAGRs computed."
market_price_class_a,"SENEA Class A closing price on rebuild reference date",2026-04-30,USD per share,,,,pending,S-009,"C-001;C-002","Archive snapshot required for reproducibility."
